Question,Option A,Option B,Option C,Option D,Answer
"Task Bar can be moved to any side
of Desktop",TRUE,FALSE,,,A
"Which the last part in Email
Address?","User
Name",Password,"Domain
code","Domain
Address",C
"                       memory Device is
permanently fixed into CPU cabinet of Computer",Floppy Disk,Hard Disk,CD,Pen Drive,B
"Windows 7 is Multiuser Operating
System.",TRUE,FALSE,,,A
ROM means Read Only Memory,TRUE,FALSE,,,A
"In Ms-Word from
.                                   Tab you can
See the option Show or Hide Ruler.",Insert,View,Data,Review,B
"We can hyperlink text
from                     Menu",Insert,View,Review,Data,A
"By clicking           tool, we can apply
3D effect.","3-D
Rotations","Right
Rotation","Left
Rotation","None of
these",A
"To select any word in document,
                          With mouse on the word.",Double Click,Triple Click,Single Click,Right Click,A
"Microsoft word template files have
                 extension",.docx,.dotx,.doc,.tdoc,B
"In MS-Excel, if we want to show any message after selecting any cell
then                    option is used.",Input Message,Format Message,Edit Message,View Message,A
"We have to start with
             Symbol to type any function in cell",=,*,?,!,A
#NAME?,TRUE,FALSE,,,B
"The category of the function DAY()
is",Logical,Finance,"Math &
Trig","Date and
Time",D
"In MS-Excel, we  can define new
                   for the selected cell range using name manager.",Class,Range,Value,Name,D
"To insert chart on a slide we use
              command in Insert Tab",Chart,Picture,Shapes,Audio,A
"There are 14 Tools in page maker
tool box",TRUE,FALSE,,,A
"In PageMaker,                   tool is
used to  select and rotate objects",Line tool,"pointer
tool",select tool,"Rotate
tool",D
"In PowerPoint, Font size is decreased by using                     option",home tab- styles,Home tab alignment,"Font command from
home tab",None of these,C
"PageMaker software developed by
                   company.",Microsoft,Adobe,IBM,"None of
these",B
"Without                           the computer
and its application can not perform any task.",Operating System,DVD,Antivirus,Virus,A
"                          Is a digital circuit which performs addition of binary
numbers.",Subtractor,Adder,Register,Accumula tor,B
".mil is example of                           
website",Military,college,school,"None of
these",A
"Pressing key combination Shift +
F10 in Windows 7 will                            ",Cancel Current Task,"Display shortcut menu for selected
item",Open Start Menu,Rename folder,B
"                              is the powerful PC
and data is stored in it.",Date Line,Client,Server,"None of
these",C
DNS stands for,"Domain number
system","Domain name
system","Domain network
system","domain network
structure",B
DNS means,"Domain number
system","domain network
structure","Domain network
system","Domain name
system",D
CPU stand for,"Central Processing
Unit","Common
Processing Unit","Central Program
Unit","Common Program
Unit",A
ANSI stands for,"All New Small
Integration","A national Small
Institutes","American National
Standard Institute",None of these,C
