Question,Option A,Option B,Option C,Option D,Answer
Powerpoint मधये जास्तीत जास्त  __________ झ उऩऱब्ध आहे. ,100,200,400,800,C 
slide show मधये command चा  कोणता menu available नसतो. ,Background ,Custom Show ,Hide slide ,Set up show ,A 
खाऱीऱ ऩैकी कोणते Software  Email Client होय. ,Windows 7 ,Internet  Explorer ,MS-Office  2010 ,Outlook ,D 
सरव web addresses ची सुरूर्ात  __________ ने होते. ,smtp:// ,http:// ,ftp:// ,html:// ,B 
सवहवर च्या Commercial Domain  Code ऱा ___ असे म्हणतात. ,.bus ,.com ,.corp ,.biz ,B 
Operating system ही file  management चे कायव करते. ,बरोबर ,,,,A 
________हे WAN ्कारचे  network आहे. ,Internet ,Browser ,Webpage ,Home page ,A 
__________ या कमांडमुले object  मोठ्या आकारात ऩाहता येते. ,Zoom In ,Zoom Out ,Zoom Left ,Zoom Right ,A 
Slide Presentation ळर recorded  voice आऩण insert करु ऴकतो. ,फरोफर ,,,,A 
E-Mail सोफत attachment  ऩाठवळण्यासाठी ____________  कराळे ऱागते. ,Uploading ,Downloading ,Copying ,Moving ,A 
Web Browserr काय आहे? ,Document  editor ,E-Mail client  software ,System  Software ,Network  Connector ,B 
Internet हे ______ आहे. ,Local Area  Network ,Network of  Networks ,Metro Area  Network ,याऩैकी सळव ,B 
इंटरनेटमध्ये Terminology IP  महणजे.. ,Internet  Provider ,Internet  Protocol ,Internet  Procedure ,Internet  Processor ,B 
Email हा Electric mail चा  ऴॉटवपॉम आहे. ,फरोफर ,,,,B 
PowerPoint’s Status bar मधये  आऩल्याऱा __________ ममलू  ऴकते ,current slide  no ,current slide  theme ,View buttons ,याऩैकी सळव ,D 
PowerPoint मधये picture with  caption हा ________ चा ्ቚकार  आहे. ,Layout ,Paper ,Size ,Font ,A 
E-Mail forward करणे म्हणजे E-  Mail reply करणे होय. ,फरोफर ,,,,B 
URL ऱा Web Address सुध्दा  महटल्या जाऊ ऴकते. ,फरोफर ,,,,A 
__________ format हा PDF  सारखाच आहे. ,XML ,XHTML ,XPS ,Xreader ,C 
_________महणजे computerऱा  ददऱेल्या स होय. ,software ,Hardware ,Program ,Process ,C 
Internet Explorer उघडण्या करीता  ___ ळर डफऱ‍ क्क्ऱक कराळे. ,Printer ,Scanner ,Mouse ,Desktop ,D 
text हे upper case म े  बदल ासाठी MS Excel 2010  मधील कोणते function वापरतात ? ,=upper() ,=  uppercase(  ) ,=caps() ,= lower() ,A 
Text Orientation या Option ने  आपण Cell मधील text matter  rotate क) शकतो. ,बरोबर ,चूक ,,,A 
"PageMaker म े, कोणता tool  polygons काढ ासाठी  वापरतात? ",Constraine  d Tool ,Zoom tool ,Polygon  Tool ,select tool ,C 
PageMaker म े Zoom Option  _____ म े आहे. ,file ,view ,utilities ,यापैकी नाही ,B 
slide म े Ctrl+U चा उपयोग  आपण ___________ effect हा  selected text साठी देऊ शकतो. ,italic ,bold ,underline ,new ,C 
"PowerPoint म े Action  buttons +कार ा shapes ला  आप,ाला काही _____ सेट करता  येते. ",points ,Action ,shapes ,यापैकी नाही ,B 
"PageMaker म े , _______  tool document म े लवकर  scroll कर ासाठी वापरतात . ",Crop Tool ,Fill tool ,Hand tool ,select tool ,C 
"सव deleted केले,ा files  __________म े जातात . ",Recycle  Bin ,My  Computer ,Document  s ,Saved  Document  s ,A 
एका webpage व0न दुस2या  webpage वर जा ासाठी  _________ चा वापर होतो. ,Hyperlinks ,Word  Processor ,Spreadshe  et ,Presentati  on graphic ,A 
Local area network मधले  computer _____________ ने  जोडलेले असतात. ,Cables ,Mouse ,Connectio  n ची गरज ,यापैकी नाही ,A 
Delete केलेले E-Mail  पाह ासाठी ____________ चा  वापर होतो. ,Inbox ,Spam ,Trash ,Outbox ,C 
MICR  णजे __________ Ink  Character Reader. ,Magnetic ,Matrix ,Machine ,,A 
ऩुढीऱऩैकी कोणत्या Tab ऱा  background option उऩऱब्ध  असतो. ,Home ,Insert ,Design ,Slide Show ,C 
computers सितः विचार करू  रकतात. ,फरोफर ,,,,B 
Network मधीऱ मुख्य Computer  ऱा _________ महणतात ,Client ,PC ,Leader ,Server ,D 
________________ महणजेच  आऱेऱा E-Mail दसऱ्याु कोणाऱा  तरी ऩाठविणे. ,Compose ,Forward ,Reply ,Delete ,B 
आऩण MS-Word-2010 िाऩरून  PDF Document तयार करू र्कतो. ,फरोफर ,,,,A 
Mouse चे ्ቚकार  ________________ हे आहेत. ,Mechanical  Mouse ,Optical Mouse ,Wireless  Mouse ,याऩैकी सिश ,D 
